cliente,fecha,nombre_categoria,nombre_competencia, precio_competencia,vida_util,fecha_inventario,historial_compras,precio,nombre_tipo,cantidad_disponible,cantidad_comprada,tipo_promocion,fecha_inicio,fecha_fin
Cliente 1,17/02/2022,Helado,Delizia,85.7,25,27/12/2021,7,82.2,Agencia,215,20,2x1,15/07/2020,22/07/2020
Cliente 2,01/12/2021,Leche,Pairumani,42.6,22,03/10/2021,558,39.2,Agencia,129,43,Sin Descuento,24/01/2021,19/02/2021
Cliente 3,28/02/2022,Yogurt,Delizia,36.5,30,14/01/2022,256,33.8,Online,247,15,Descuento Porcentual,07/06/2021,02/07/2021
Cliente 4,09/06/2019,Queso,Norland,26.5,72,15/05/2019,601,28.9,Online,222,75,2x1,27/06/2019,06/07/2019
Cliente 5,14/12/2020,Mantequilla,Delizia,83.9,11,17/10/2020,145,83.1,Supermercado,102,76,2x1,06/07/2019,29/07/2019
Cliente 6,07/01/2019,Crema de Lecha,Nestle,85.5,5,03/01/2019,74,84.8,Supermercado,519,56,Sin Descuento,14/06/2022,26/06/2022
Cliente 7,05/08/2022,Queso,Purita,36.8,83,14/06/2022,410,32.7,Online,347,50,Descuento Porcentual,19/07/2021,24/07/2021
Cliente 8,14/02/2019,Jugo,Delizia,29.1,14,06/01/2019,15,29.1,Online,188,11,Sin Descuento,13/02/2019,17/01/2022
Cliente 9,02/08/2020,Crema de Lecha,Nestle,22.8,6,06/06/2020,860,24.8,Agencia,89,86,2x1,16/03/2019,09/04/2019
Cliente 10,04/03/2022,Mantequilla,Delizia,42.1,9,03/02/2022,108,46.2,Supermercado,277,94,2x1,06/06/2020,29/06/2020
Cliente 11,22/12/2021,Yogurt,Delizia,67.2,24,02/11/2021,22,68.1,Agencia,30,81,Descuento Porcentual,11/11/2022,19/11/2022
Cliente 12,14/10/2020,Yogurt Griego,Delizia,84.6,14,22/08/2020,345,88.1,Online,308,27,Sin Descuento,07/05/2018,14/02/2022
Cliente 13,18/02/2020,Queso,Delizia,58.3,69,18/01/2020,1,58.1,Supermercado,11,32,Sin Descuento,30/12/2018,20/01/2019
Cliente 14,26/12/2019,Helado,Delizia,94.4,25,15/12/2019,80,94.3,Online,532,48,Sin Descuento,14/01/2019,13/10/2019
Cliente 15,10/04/2022,Helado,Delizia,88.7,28,26/03/2022,645,93.5,Supermercado,152,84,2x1,23/09/2020,21/11/2022
Cliente 16,22/02/2020,Leche,Delizia,11.6,1,31/01/2020,778,8.7,Supermercado,43,89,Descuento Porcentual,11/12/2020,02/01/2021
Cliente 17,17/12/2022,Gelatina,Delizia,48.8,138,26/11/2022,438,52.8,Supermercado,225,86,Descuento Porcentual,26/06/2020,04/06/2021
Cliente 18,24/06/2020,Crema de Lecha,Pairumani,26.2,6,08/05/2020,270,30.3,Online,115,52,Sin Descuento,04/04/2020,29/04/2021
Cliente 19,19/01/2020,Mantequilla,Pairumani,41.1,10,01/12/2019,309,40.8,Online,58,37,2x1,29/11/2018,22/06/2021
Cliente 20,15/06/2021,Leche,Pairumani,93.7,28,22/05/2021,486,96.1,Agencia,410,27,Sin Descuento,12/08/2020,06/09/2020
Cliente 21,19/05/2020,Jugo,Nestle,87.5,10,04/04/2020,26,87.3,Agencia,62,31,Sin Descuento,11/06/2020,29/04/2021
Cliente 22,08/08/2022,Queso,Norland,13.9,43,01/07/2022,62,14.1,Online,158,30,2x1,04/12/2022,06/12/2022
Cliente 23,16/04/2020,Yogurt,Pairumani,84.5,28,04/04/2020,173,89.3,Supermercado,351,93,Descuento Porcentual,08/05/2021,22/09/2021
Cliente 24,03/03/2022,Queso,Norland,90.1,36,04/02/2022,610,91.1,Online,269,49,Descuento Porcentual,15/02/2019,09/11/2021
Cliente 25,24/10/2021,Crema de Lecha,Delizia,81.3,5,26/08/2021,55,76.4,Online,157,19,Descuento Porcentual,01/11/2022,22/11/2022
Cliente 26,17/11/2021,Jugo,Delizia,62.2,8,23/10/2021,845,66.7,Agencia,41,46,Descuento Porcentual,09/05/2022,08/06/2022
Cliente 27,26/07/2022,Mermelada,ILVA,89.6,37,05/07/2022,47,93,Agencia,383,22,2x1,14/05/2018,22/09/2018
Cliente 28,25/09/2022,Mermelada,ILVA,77.5,36,20/08/2022,246,77.5,Supermercado,194,88,Sin Descuento,23/08/2021,29/11/2021
Cliente 29,24/06/2020,Crema de Lecha,Delizia,86.4,6,21/05/2020,305,84.6,Supermercado,260,26,Sin Descuento,11/06/2022,18/12/2022
Cliente 30,13/01/2021,Yogurt Griego,Delizia,19,14,07/01/2021,26,21.2,Supermercado,75,52,2x1,25/03/2019,23/02/2021
Cliente 31,25/05/2020,Jugo,Pairumani,80.1,7,02/05/2020,557,81.8,Supermercado,213,83.63,Sin Descuento,11/11/2019,01/11/2022
Cliente 32,27/03/2020,Mermelada,Pairumani,92.7,28,21/02/2020,56,96.9,Supermercado,929,37.94,2x1,17/09/2021,10/10/2021
Cliente 33,01/01/2022,Jugo,Delizia,44.3,12,28/11/2021,137,46.8,Agencia,458,91.23,Sin Descuento,03/04/2022,04/04/2022
Cliente 34,02/10/2019,Gelatina,Pairumani,43.9,136,23/08/2019,86,41.5,Agencia,495,54.72,2x1,28/02/2022,07/03/2022
Cliente 35,14/05/2019,Yogurt,Delizia,97.9,22,19/03/2019,95,101.6,Supermercado,237,75.91,Descuento Porcentual,11/12/2022,17/12/2022
Cliente 36,28/04/2022,Leche,Nestle,61.2,1,12/04/2022,389,65.5,Supermercado,263,45.01,Descuento Porcentual,24/10/2018,06/01/2019
Cliente 37,11/01/2020,Gelatina,Pairumani,27.2,129,20/12/2019,384,25.5,Online,102,99.86,2x1,01/06/2019,06/03/2022
Cliente 38,28/01/2021,Yogurt Griego,Delizia,49.4,17,22/12/2020,167,45.9,Supermercado,357,33.58,Sin Descuento,18/10/2020,27/12/2022
Cliente 39,11/07/2022,Yogurt Griego,Delizia,36.9,12,28/05/2022,671,32.9,Agencia,4,10.25,Descuento Porcentual,14/07/2018,23/03/2020
Cliente 40,09/06/2021,Crema de Lecha,Pairumani,27.3,6,18/04/2021,116,22.6,Agencia,151,53.34,2x1,09/05/2020,16/05/2020
Cliente 41,23/02/2019,Mantequilla,Delizia,34.8,14,25/01/2019,292,38.9,Agencia,509,46.12,Descuento Porcentual,23/02/2021,03/03/2021
Cliente 42,11/12/2019,Yogurt Griego,Nestle,91.6,13,30/10/2019,104,93.9,Supermercado,8,92.48,Descuento Porcentual,26/03/2020,29/01/2022
Cliente 43,08/02/2022,Yogurt Griego,Delizia,92,13,13/01/2022,715,89.1,Agencia,82,17.51,2x1,29/05/2019,18/06/2019
Cliente 44,09/04/2021,Helado,Pairumani,52.4,24,20/02/2021,6,54.4,Agencia,669,15.3,2x1,26/04/2018,25/07/2021
Cliente 45,23/10/2019,Leche,Delizia,46.4,2,11/10/2019,302,42.3,Supermercado,563,70.1,Descuento Porcentual,02/10/2021,31/10/2021
Cliente 46,20/09/2019,Mermelada,Pairumani,90.8,38,12/08/2019,3,87.3,Supermercado,5,54.58,2x1,19/03/2019,16/04/2019
Cliente 47,01/02/2021,Jugo,Pairumani,23.8,10,20/12/2020,82,20.3,Agencia,299,39.14,Descuento Porcentual,23/10/2018,12/06/2021
Cliente 48,03/05/2020,Leche,Nestle,25.5,1,25/03/2020,406,27.2,Online,428,58.16,2x1,29/08/2022,24/09/2022
Cliente 49,15/08/2019,Yogurt Griego,Pairumani,78.6,16,04/07/2019,552,74.5,Supermercado,129,64.85,Sin Descuento,10/01/2018,01/12/2018
Cliente 50,03/03/2019,Jugo,Nestle,55.8,9,25/02/2019,262,52.6,Supermercado,726,78.44,Sin Descuento,20/11/2018,19/02/2020
Cliente 51,28/11/2019,Mantequilla,Delizia,41.3,11,27/10/2019,141,43,Online,269,62.67,2x1,08/01/2018,17/06/2018
Cliente 52,08/03/2021,Helado,Delizia,58.3,29,03/03/2021,305,62.3,Online,46,51.48,2x1,25/01/2021,20/02/2021
Cliente 53,16/01/2020,Mantequilla,Delizia,62,13,14/01/2020,62,65.2,Supermercado,21,21.47,2x1,18/01/2018,10/10/2019
Cliente 54,07/01/2019,Mermelada,Pairumani,89.8,29,28/11/2018,22,92.2,Supermercado,8,27.1,Sin Descuento,15/03/2021,01/04/2021
Cliente 55,15/05/2021,Jugo,Delizia,82.9,14,31/03/2021,2,85.4,Agencia,7,50.62,Descuento Porcentual,11/09/2019,29/09/2022
Cliente 56,22/09/2022,Queso,Delizia,48.7,42,28/08/2022,705,45,Supermercado,248,11.47,2x1,07/01/2019,23/05/2019
Cliente 57,26/05/2021,Yogurt Griego,Pairumani,98.4,12,14/05/2021,145,101.6,Supermercado,562,65.74,Descuento Porcentual,02/02/2018,24/03/2020
Cliente 58,20/04/2021,Crema de Lecha,Nestle,56.1,6,01/04/2021,11,58.2,Online,828,25.18,Sin Descuento,22/08/2021,06/09/2021
Cliente 59,07/02/2021,Gelatina,Delizia,68.7,137,13/01/2021,956,69.8,Agencia,4,38.11,Sin Descuento,28/03/2022,04/04/2022
Cliente 60,22/09/2020,Yogurt,Pairumani,82.4,30,21/09/2020,26,84.9,Online,39,67.7,2x1,12/10/2018,20/12/2018
Cliente 61,17/11/2019,Gelatina,Delizia,93,143,07/11/2019,634,95.1,Supermercado,51,78.67,2x1,17/01/2020,19/06/2021
Cliente 62,18/12/2022,Yogurt,Delizia,20.2,28,24/10/2022,290,21.2,Online,464,75.4,2x1,11/02/2021,22/07/2021
Cliente 63,02/01/2021,Helado,Pairumani,86.6,26,04/12/2020,696,83.7,Agencia,54,31.69,Sin Descuento,15/03/2022,06/04/2022
Cliente 64,17/12/2019,Gelatina,Pairumani,61.2,147,07/12/2019,392,61.2,Agencia,446,34.63,Descuento Porcentual,31/05/2019,26/06/2019
Cliente 65,24/08/2019,Mermelada,Delizia,45,37,08/08/2019,534,48,Agencia,257,80.22,2x1,28/09/2020,16/05/2022
Cliente 66,07/11/2021,Leche,Delizia,95,21,17/09/2021,16,93.2,Agencia,46,10.47,2x1,16/10/2019,20/06/2020
